experiment_datetime,experiment_name,comments,params.n_models,other.n_features,other.n_splits,scores.auc_mean,scores.auc_std,scores.kaggle
2020-01-21_17-06-47,Exp0,,0.0,298.0,4.0,0.9079209100013425,0.002692496598013433,
2020-01-21_17-12-43,Exp0,,0.0,298.0,4.0,0.9080013586979304,0.0026049502610872785,0.9108799999999999
2020-01-21_17-23-58,Exp0,,0.0,403.0,4.0,0.9069860417433879,0.0020990121440343248,
2020-01-21_17-32-07,Exp0,,0.0,403.0,4.0,0.9053045003449584,0.0027827134617799424,
2020-01-21_17-59-37,Exp0,,0.0,403.0,4.0,0.9077179822942246,0.002785898630707701,
2020-01-21_18-07-57,Exp0,,0.0,465.0,4.0,0.9072378979415712,0.002401339044321937,
2020-01-22_14-27-32,Exp0,,0.0,1530.0,4.0,0.9048025428510548,0.0027431527843786393,
2020-01-22_16-48-56,Exp0,,0.0,472.0,4.0,0.9074229708055264,0.002164267301561469,0.91212
2020-01-22_16-57-43,Exp0,,0.0,473.0,4.0,0.9074236835745182,0.002416334933448749,0.91185
2020-01-29_14-37-44,Exp0,,0.0,473.0,4.0,0.9073730776027208,0.0025049330876084565,
2020-01-29_16-36-27,Exp0,,0.0,473.0,4.0,0.9075101740364648,0.002647720532396834,0.91154
2020-01-29_16-52-31,Exp0,,0.0,475.0,4.0,0.9070674476702024,0.002314343500105996,
2020-01-29_16-59-21,Exp0,,0.0,475.0,4.0,0.9067958854355688,0.002783997547999157,
2020-01-31_14-02-49,Exp0,,0.0,299.0,4.0,0.907397538711418,0.002849210112015202,
2020-01-31_14-31-19,Exp0,,0.0,4.0,4.0,0.8769387493667958,0.0032011135400556072,
2020-01-31_14-32-41,Exp0,,0.0,6.0,4.0,0.8797546965428509,0.003024385361842341,
2020-01-31_14-33-29,Exp0,,0.0,7.0,4.0,0.8829346074936395,0.0035863774431837813,
2020-01-31_14-34-14,Exp0,,0.0,10.0,4.0,0.8828752906593884,0.0034813795671716084,
2020-01-31_14-35-12,Exp0,,0.0,11.0,4.0,0.8838744867441615,0.002970144210045732,
2020-01-31_14-36-36,Exp0,,0.0,9.0,4.0,0.8850864285492781,0.002712118582782846,
2020-01-31_14-37-23,Exp0,,0.0,10.0,4.0,0.8867190869313321,0.002673021388500921,
2020-01-31_14-38-01,Exp0,,0.0,11.0,4.0,0.8874657763801999,0.0023740151788683482,
2020-01-31_14-38-59,Exp0,,0.0,12.0,4.0,0.8878383824281574,0.002701458403445195,
2020-01-31_14-40-31,Exp0,,0.0,70.0,4.0,0.8995967190382028,0.002040520004271194,
2020-01-31_14-41-22,Exp0,,0.0,14.0,4.0,0.8909918788349942,0.0028650283628452746,
2020-01-31_14-44-55,Exp0,,0.0,15.0,4.0,0.8906459341019924,0.002518985184928562,
2020-01-31_16-04-22,Exp0,,0.0,16.0,4.0,0.8937014371102712,0.003312106149975041,
2020-01-31_16-05-41,Exp0,,0.0,16.0,4.0,0.8939789810740163,0.002574018666064457,
2020-01-31_16-07-25,Exp0,,0.0,16.0,4.0,0.8915971283098559,0.0030456452316537565,
2020-01-31_16-08-22,Exp0,,0.0,16.0,4.0,0.8908600496798559,0.002073976833345194,
2020-01-31_16-12-12,Exp0,,0.0,17.0,4.0,0.8952478511602947,0.0021539876313145124,
2020-01-31_16-13-43,Exp0,,0.0,19.0,4.0,0.8963477803531446,0.002579584865584421,
2020-01-31_16-15-26,Exp0,,0.0,24.0,4.0,0.8981843871170336,0.0024689392115491327,
2020-01-31_16-16-40,Exp0,,0.0,25.0,4.0,0.8986146062613094,0.0025459111709934808,
2020-01-31_16-17-40,Exp0,,0.0,28.0,4.0,0.8951232481838587,0.002602069018261431,
2020-01-31_16-26-25,Exp0,,0.0,23.0,4.0,0.8963787427962665,0.002877757020272811,
